02:51:49 S S S S S S S S S S S S S S S S S S S S S S S S 
02:51:50 R S S S S S S S S S S S S S S S S S S S S S S S 
02:51:51 S R S S S S S S S S S S S S S S S S S S S S S S 
02:51:53 S S S S S S S S S S S S S S S S S S S S S S S S 
02:51:54 S S S S S S S S S S S S S S S S S S S S S S S S 
02:51:55 S S S S S S S S S S S S S S S S S S S S S S S S 
02:51:56 S S S S S S S S S S S S S S S S S S S S S S S S 
02:51:57 S S S S S S S S S S S S S S S S S S S S S S S S 
02:51:59 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:00 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:01 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:02 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:03 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:04 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:06 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:07 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:08 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:09 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:10 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:12 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:13 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:14 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:15 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:16 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:17 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:19 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:20 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:21 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:22 S S S S S S S S S S S S S S S S S S S S S S S S 
02:52:23 S S S S S S S S S S S S S S S S S S S S S S S S 
