1   2021656 481392
2   2021656 1,1g
3   2021656 1,1g
4   2021656 1,1g
5   2021656 1,1g
6   3201304 1,2g
7   3201304 2,1g
8   3201304 2,3g
9   3201304 2,3g
10   3201304 2,3g
11   3201304 2,3g
12   3201304 2,3g
13   3201304 2,3g
14   3201304 2,3g
15   3201304 2,3g
16   3201304 2,3g
17   3201304 2,3g
18   3201304 2,3g
19   3201304 2,3g
20   3201304 2,3g
21   3201304 2,3g
22   3201304 2,3g
23   3201304 2,3g
24   3201304 2,3g
25   3201304 2,3g
26   3201304 2,3g
27   3201304 2,3g
28   3201304 2,3g
29   3201304 2,3g
30   3201304 2,3g
