1   2021656 481392
2   2021656 1100000
3   2021656 1100000
4   2021656 1100000
5   2021656 1100000
6   3201304 1200000
7   3201304 2100000
8   3201304 2300000
9   3201304 2300000
10   3201304 2300000
11   3201304 2300000
12   3201304 2300000
13   3201304 2300000
14   3201304 2300000
15   3201304 2300000
16   3201304 2300000
17   3201304 2300000
18   3201304 2300000
19   3201304 2300000
20   3201304 2300000
21   3201304 2300000
22   3201304 2300000
23   3201304 2300000
24   3201304 2300000
25   3201304 2300000
26   3201304 2300000
27   3201304 2300000
28   3201304 2300000
29   3201304 2300000
30   3201304 2300000
